,Unnamed: 0,State,Colonies,Lost Colonies,Year,Lost Unknown,BIP Colonies_x,BIP Colonies Lost_x,BIP Colonies_y,BIP Colonies Lost_y
0,0,Alabama,31000,4670,2015,521.19,2303,765,2303,765
1,1,Alabama,30500,4440,2016,506.17,367,128,367,128
2,2,Alabama,28000,3930,2017,258.7,1776,819,1776,819
3,3,Alabama,29500,4000,2018,228.4,2303,742,2303,742
4,4,Arizona,111000,20900,2016,1409.7,176,114,176,114
5,5,Arizona,106000,19200,2017,409.0,1576,1228,1576,1228
6,6,Arkansas,72500,14800,2015,512.1,586,234,586,234
7,7,Arkansas,111000,12400,2016,502.2,1940,770,1940,770
8,8,Arkansas,89000,18900,2017,250.5,3953,1858,3953,1858
9,9,Arkansas,95500,17800,2018,1452.3,586,234,586,234
10,10,California,3960000,584000,2015,20343.0,300959,119782,300959,119782
11,11,California,3750000,595000,2016,29085.0,246959,75322,246959,75322
12,12,California,3420000,507000,2017,27522.0,141770,48769,141770,48769
13,13,California,3550000,568000,2018,30733.0,300959,119782,300959,119782
14,14,Colorado,68500,10400,2015,340.4,3394,984,3394,984
15,15,Colorado,77500,13550,2016,14.3,448,216,448,216
16,16,Colorado,95000,16900,2017,440.1,3634,839,3634,839
17,17,Colorado,93500,16400,2018,399.6,3394,984,3394,984
18,18,Connecticut,13800,1210,2015,25.01,111,44,111,44
19,19,Connecticut,11400,880,2016,15.23,345,213,345,213
20,20,Connecticut,13600,980,2017,27.54,448,327,448,327
21,21,Connecticut,13200,610,2018,12.0,111,44,111,44
22,22,Florida,899000,150000,2015,5517.0,25189,10126,25189,10126
23,23,Florida,970000,135000,2016,4197.0,46181,13485,46181,13485
24,24,Florida,861000,154000,2017,33470.0,17663,7065,17663,7065
25,25,Florida,932000,168000,2018,23877.0,25189,10126,25189,10126
26,26,Georgia,436000,68500,2015,3635.5,11278,5628,11278,5628
27,27,Georgia,406000,50500,2016,1959.5,25731,7848,25731,7848
28,28,Georgia,499000,63000,2017,2637.5,7547,3200,7547,3200
29,29,Georgia,547000,79500,2018,5088.0,11278,5628,11278,5628
30,30,Hawaii,55500,2680,2016,0.97,75,20,75,20
31,31,Idaho,344000,46200,2015,1162.8,79307,28392,79307,28392
32,32,Idaho,351000,43000,2016,1211.0,51283,14000,51283,14000
33,33,Idaho,358000,40000,2017,1168.0,12973,4748,12973,4748
34,34,Idaho,404000,57500,2018,1847.0,79307,28392,79307,28392
35,35,Illinois,43500,7590,2015,604.16,880,508,880,508
36,36,Illinois,37500,4160,2016,187.6,467,276,467,276
37,37,Illinois,49000,7000,2017,374.5,1232,718,1232,718
38,38,Illinois,43500,6760,2018,442.8,880,508,880,508
39,39,Indiana,43500,6100,2015,431.4,16575,6017,16575,6017
40,40,Indiana,27800,2790,2016,97.79,529,219,529,219
41,41,Indiana,39000,5730,2017,303.9,7983,2187,7983,2187
42,42,Indiana,35500,7090,2018,137.65,16575,6017,16575,6017
43,43,Iowa,89000,11800,2015,758.6,990,682,990,682
44,44,Iowa,127500,15500,2016,877.7,400,274,400,274
45,45,Iowa,107000,14100,2017,778.5,1554,937,1554,937
46,46,Iowa,163000,14200,2018,291.9,990,682,990,682
47,47,Kansas,28100,6670,2015,301.43,1004,553,1004,553
48,48,Kansas,22700,5960,2016,170.16,14129,6740,14129,6740
49,49,Kansas,21100,3920,2017,378.42,2455,1068,2455,1068
50,50,Kansas,19100,3200,2018,430.3,1004,553,1004,553
51,51,Kentucky,33500,7480,2015,665.82,892,358,892,358
52,52,Kentucky,27000,3700,2016,228.6,2038,825,2038,825
53,53,Kentucky,30000,4670,2017,406.97,3705,1975,3705,1975
54,54,Kentucky,24500,4950,2018,274.33,892,358,892,358
55,55,Louisiana,200000,16700,2015,254.5,15833,10988,15833,10988
56,56,Louisiana,205000,24300,2016,312.1,3053,1102,3053,1102
57,57,Louisiana,222000,21500,2017,2359.1,6097,4207,6097,4207
58,58,Louisiana,201000,9500,2018,150.4,15833,10988,15833,10988
59,59,Maine,18400,4090,2015,46.36,340,144,340,144
60,60,Maine,14800,5070,2016,,23635,5507,23635,5507
61,61,Maine,15900,2370,2017,,413,235,413,235
62,62,Maine,28600,5800,2018,36.19,340,144,340,144
63,63,Maryland,30000,5880,2015,533.39,3135,1075,3135,1075
64,64,Maryland,30000,1840,2016,17.06,4476,2462,4476,2462
65,65,Maryland,33500,5190,2017,339.39,4089,2020,4089,2020
66,66,Maryland,29500,3020,2018,76.49,3135,1075,3135,1075
67,67,Massachusetts,19000,2140,2015,61.46,527,242,527,242
68,68,Massachusetts,24700,1940,2016,100.72,13626,2167,13626,2167
69,69,Massachusetts,20800,3500,2017,90.3,1985,1288,1985,1288
70,70,Massachusetts,20100,4110,2018,340.51,527,242,527,242
71,71,Michigan,230500,37000,2015,2366.5,26348,11593,26348,11593
72,72,Michigan,274000,40000,2016,1247.5,9023,2941,9023,2941
73,73,Michigan,275000,41500,2017,970.0,21760,7703,21760,7703
74,74,Michigan,218500,28500,2018,3032.0,26348,11593,26348,11593
75,75,Minnesota,336000,58200,2015,4964.2,32674,16370,32674,16370
76,76,Minnesota,308000,58000,2016,5470.0,15623,7718,15623,7718
77,77,Minnesota,293000,42500,2017,1144.0,11785,6317,11785,6317
78,78,Minnesota,313000,52900,2018,4446.9,32674,16370,32674,16370
79,79,Mississippi,142500,16900,2016,1483.7,14547,3826,14547,3826
80,80,Mississippi,158000,12700,2017,226.5,11599,5568,11599,5568
81,81,Missouri,51000,4390,2015,217.06,666,238,666,238
82,82,Missouri,44500,3310,2016,108.97,755,254,755,254
83,83,Missouri,32000,2870,2017,283.65,754,255,754,255
84,84,Missouri,35000,3210,2018,386.76,666,238,666,238
85,85,Montana,300500,26900,2015,740.3,28003,4733,28003,4733
86,86,Montana,349500,35400,2016,5555.0,26403,4515,26403,4515
87,87,Montana,334500,35670,2017,925.67,105,65,105,65
88,88,Montana,328000,29640,2018,565.64,28003,4733,28003,4733
89,89,Nebraska,178000,19700,2015,425.5,13064,3005,13064,3005
90,90,Nebraska,112500,19520,2016,83.32,180,130,180,130
91,91,Nebraska,103000,13450,2017,890.9,13655,3236,13655,3236
92,92,Nebraska,114000,14030,2018,429.37,13064,3005,13064,3005
93,93,New Jersey,41000,3380,2015,250.51,698,279,698,279
94,94,New Jersey,40200,3110,2016,154.55,2969,1229,2969,1229
95,95,New Jersey,43000,2540,2017,14.36,721,329,721,329
96,96,New Jersey,40400,2620,2018,11.29,698,279,698,279
97,97,New Mexico,26000,3580,2015,41.83,106,55,106,55
98,98,New Mexico,26000,5800,2016,27.4,285,101,285,101
99,99,New Mexico,29000,8300,2017,37.3,235,163,235,163
100,100,New Mexico,23400,8150,2018,58.4,106,55,106,55
101,101,New York,140000,18100,2015,753.1,8882,2638,8882,2638
102,102,New York,166000,27200,2016,662.2,17937,7856,17937,7856
103,103,New York,167000,17700,2017,867.7,6557,2649,6557,2649
104,104,New York,154000,14700,2018,750.5,8882,2638,8882,2638
105,105,North Carolina,89500,13900,2015,1209.5,1971,645,1971,645
106,106,North Carolina,91500,11100,2016,223.9,5784,1729,5784,1729
107,107,North Carolina,89000,13800,2017,536.9,2704,1490,2704,1490
108,108,North Carolina,68500,11600,2018,564.6,1971,645,1971,645
109,109,North Dakota,868000,157620,2015,6993.62,152070,58243,152070,58243
110,110,North Dakota,1094000,150500,2016,5000.5,104636,39552,104636,39552
111,111,North Dakota,1045000,90640,2017,1151.28,71291,22528,71291,22528
112,112,North Dakota,1025000,114200,2018,3031.0,152070,58243,152070,58243
113,113,Ohio,77500,16900,2015,1094.0,1633,532,1633,532
114,114,Ohio,71000,8300,2016,488.2,1490,581,1490,581
115,115,Ohio,70500,10100,2017,966.2,2443,1461,2443,1461
116,116,Ohio,54500,9400,2018,768.0,1633,532,1633,532
117,117,Oklahoma,59000,9080,2015,486.47,6177,1909,6177,1909
118,118,Oklahoma,32300,6870,2016,901.56,3506,2942,3506,2942
119,119,Oklahoma,51100,1360,2017,12.65,347,144,347,144
120,120,Oklahoma,36800,8270,2018,169.78,6177,1909,6177,1909
121,121,Oregon,327000,29000,2015,442.0,65508,26531,65508,26531
122,122,Oregon,350000,24200,2016,309.2,25281,8191,25281,8191
123,123,Oregon,330000,36500,2017,1668.0,21960,7708,21960,7708
124,124,Oregon,327000,34200,2018,184.8,65508,26531,65508,26531
125,125,Pennsylvania,76500,12400,2015,572.5,5186,2427,5186,2427
126,126,Pennsylvania,63500,8600,2016,260.7,8128,4194,8128,4194
127,127,Pennsylvania,75000,11540,2017,436.1,5082,2699,5082,2699
128,128,Pennsylvania,71000,9260,2018,585.96,5186,2427,5186,2427
129,129,South Carolina,56500,7850,2015,252.75,6997,2442,6997,2442
130,130,South Carolina,54000,7020,2016,234.88,2223,1196,2223,1196
131,131,South Carolina,64000,6170,2017,83.88,2118,801,2118,801
132,132,South Carolina,47000,6000,2018,188.1,6997,2442,6997,2442
133,133,South Dakota,639000,87600,2015,3445.8,59608,25393,59608,25393
134,134,South Dakota,422000,57500,2016,1072.5,19684,6338,19684,6338
135,135,South Dakota,314000,38700,2017,1064.1,43635,12043,43635,12043
136,136,South Dakota,341000,60390,2018,877.39,59608,25393,59608,25393
137,137,Tennessee,35500,5030,2015,241.8,1086,540,1086,540
138,138,Tennessee,36000,4070,2016,241.94,713,349,713,349
139,139,Tennessee,35500,5900,2017,478.9,2319,1732,2319,1732
140,140,Tennessee,35000,7400,2018,815.6,1086,540,1086,540
141,141,Texas,697000,100500,2015,4135.0,131777,55215,131777,55215
142,142,Texas,845000,117000,2016,3264.0,42249,14745,42249,14745
143,143,Texas,851000,112000,2017,3421.0,39557,13647,39557,13647
144,144,Texas,738000,94500,2018,9540.5,131777,55215,131777,55215
145,145,Utah,89000,16600,2015,76.7,1840,905,1840,905
146,146,Utah,83500,11500,2016,150.3,1682,895,1682,895
147,147,Utah,101000,13900,2017,995.6,755,338,755,338
148,148,Utah,79000,10320,2018,236.6,1840,905,1840,905
149,149,Vermont,24000,1780,2015,50.38,1516,440,1516,440
150,150,Vermont,23500,1090,2016,10.33,1169,567,1169,567
151,151,Vermont,26500,1260,2017,20.25,930,531,930,531
152,152,Vermont,24500,1590,2018,8.19,1516,440,1516,440
153,153,Virginia,31000,4200,2015,398.67,4123,1699,4123,1699
154,154,Virginia,27500,2870,2016,116.47,1880,829,1880,829
155,155,Virginia,37500,4700,2017,227.7,4114,2686,4114,2686
156,156,Virginia,26500,4310,2018,390.97,4123,1699,4123,1699
157,157,Washington,328000,37000,2015,564.5,53208,24848,53208,24848
158,158,Washington,290000,33500,2016,726.5,49487,19646,49487,19646
159,159,Washington,291000,37000,2017,840.0,49112,11885,49112,11885
160,160,Washington,250000,35100,2018,542.4,53208,24848,53208,24848
161,161,West Virginia,23400,3280,2015,177.83,435,175,435,175
162,162,West Virginia,28500,3880,2016,143.22,628,167,628,167
163,163,West Virginia,30500,3300,2017,94.86,1584,851,1584,851
164,164,West Virginia,26200,4790,2018,260.05,435,175,435,175
165,165,Wisconsin,149500,28100,2015,2395.8,31583,13170,31583,13170
166,166,Wisconsin,168500,28100,2016,5729.9,13507,3971,13507,3971
167,167,Wisconsin,160000,29400,2017,3278.5,15837,4973,15837,4973
168,168,Wyoming,66200,12140,2016,33.22,4972,1163,4972,1163
169,169,Wyoming,84500,13900,2017,331.7,66,27,66,27
